,year,departamento,S,V,I,I2,total_animales,v,A
160,2018.0,GUAINIA,322.2,290.8,3933.0074,0.9926,4547.0,89.95487654661551,613.0
161,2019.0,GUAINIA,760.2,290.8,4659.0074,0.9926,5711.0,89.95487654661551,1051.0
162,2022.0,GUAINIA,883.2,290.8,3696.0074,0.9926,4871.0,89.95487654661551,1174.0
163,2011.0,GUAJIRA,35514.600000000006,33324.0,220901.50959999996,202.4904,289942.6,96.19259302023497,68838.6
164,2012.0,GUAJIRA,32026.600000000006,36812.0,220939.22839999996,164.7716,289942.6,98.62822848569286,68838.6
165,2013.0,GUAJIRA,34990.600000000006,33848.0,221072.23679999998,31.7632,289942.6,95.71315462051804,68838.6
166,2014.0,GUAJIRA,40514.600000000006,28324.0,221086.13319999998,17.8668,289942.6,97.790360447452,68838.6
167,2015.0,GUAJIRA,45034.600000000006,23804.0,221095.06659999996,8.9334,289942.6,97.47747747747748,68838.6
168,2016.0,GUAJIRA,35683.0,21261.0,228332.1628,21.8372,285298.0,97.4828060522696,57493.0
169,2021.0,GUAJIRA,53411.0,15634.0,219587.38956666668,74.61043333333333,288707.0,99.4276265581277,69135.0
170,2018.0,GUAJIRA,43715.57142857143,27572.428571428572,215599.38956666668,74.61043333333333,286962.0,97.5303209516818,71288.0
171,2019.0,GUAJIRA,50223.57142857143,27572.428571428572,224612.38956666668,74.61043333333333,302483.0,97.5303209516818,77796.0
172,2022.0,GUAJIRA,40908.57142857143,27572.428571428572,217707.38956666668,74.61043333333333,286263.0,97.5303209516818,68481.0
173,2011.0,GUAVIARE,61957.600000000006,34302.0,338917.66640000005,35.7336,435213.0,95.17229898451806,96259.6
174,2012.0,GUAVIARE,62677.600000000006,33582.0,338379.67720000003,573.7228,435213.0,88.79428873611846,96259.6
175,2013.0,GUAVIARE,67989.6,28270.0,338792.59880000004,160.8012,435213.0,75.93134753296984,96259.6
176,2014.0,GUAVIARE,70415.6,25844.0,338652.6422,300.75780000000003,435213.0,70.09302704022132,96259.6
177,2015.0,GUAVIARE,67900.6,28359.0,338671.5016,281.89840000000004,435213.0,95.78154552823561,96259.6
178,2016.0,GUAVIARE,23848.0,29605.0,227927.7168,230.28320000000002,281611.0,95.1286912374281,54969.0
